"id","name","region","federal_district","population","foundation_year","status","old_name","latitude","longitude"
"631","Находка","Приморский край","Дальневосточный","139931","1864","1950","","42.8246489","132.8926"
"632","Невель","Псковская область","Северо-Западный","13980","1562","1773","","56.017616","29.917128"
"633","Невельск","Сахалинская область","Дальневосточный","10608","1946","1946","Понто-Кэси (до 1905); Хонто (до 1946)","46.6877802","141.8601144"
"634","Невинномысск","Ставропольский край","Северо-Кавказский","117562","1825","1939","Невинномысская","44.6245814","41.9475941"
"635","Невьянск","Свердловская область","Уральский","22061","1701","1919","Невьянский завод","57.4924036","60.2105408"
"636","Нелидово","Тверская область","Центральный","18603","1900","1924","","56.226097","32.771111"
"637","Неман","Калининградская область","Северо-Западный","9255","1277","1722","Рагнит (до 1946)","55.0337684","22.0289572"
"638","Нерехта","Костромская область","Центральный","19977","1214","1778","","57.460655","40.573799"
"639","Нерчинск","Забайкальский край","Сибирский","15290","1653","1689","Нелюцкий острог, Нерчинский острог","51.97694","116.588341"
"640","Нерюнгри","Якутия","Дальневосточный","53409","1975","1975","Нерюнгра","56.6579435","124.7123042"
"641","Нестеров","Калининградская область","Северо-Западный","3336","1539","1722","Шталлупёнен (до 1938); Эбенроде (до 1946)","54.6325455","22.5710998"
"642","Нефтегорск","Самарская область","Приволжский","18076","1960","1989","","52.80381","51.163864"
"643","Нефтекамск","Башкортостан","Приволжский","131942","1957","1963","","56.0884031","54.2478094"
"644","Нефтекумск","Ставропольский край","Северо-Кавказский","23137","1958","1968","","44.752205","44.985077"
"645","Нефтеюганск","Ханты-Мансийский АО","Уральский","124732","1961","1967","","61.090309","72.6101"
"646","Нея","Костромская область","Центральный","7816","1906","1958","","58.2940908","43.8609201"
"647","Нижневартовск","Ханты-Мансийский АО","Уральский","283256","1909","1972","","60.9339411","76.5814274"
"648","Нижнекамск","Татарстан","Приволжский","241479","1961","1966","","55.6412879","51.8160376"
"649","Нижнеудинск","Иркутская область","Сибирский","29995","1648","1783","Покровский городок, Удинский острожек","54.9084881","99.0302862"
"650","Нижние Серги","Свердловская область","Уральский","8009","1743","1943","","56.6619","59.30003"
"651","Нижний Ломов","Пензенская область","Приволжский","20421","1636","1780","","53.529991","43.673626"
"652","Нижний Новгород","Нижегородская область","Приволжский","1204985","1221","1221","Горький (с 1932 до 1990)","56.3264816","44.0051395"
"653","Нижний Тагил","Свердловская область","Уральский","338966","1722","1919","Тагильский завод, Выйский завод","57.905149","59.9508466"
"654","Нижняя Салда","Свердловская область","Уральский","16505","1760","1938","","58.071352","60.7146772"
"655","Нижняя Тура","Свердловская область","Уральский","18392","1754","1949","Нижне-Туринский завод; Нижне-Туринск (до 1927)","58.6207762","59.8473233"
"656","Николаевск","Волгоградская область","Южный","13460","1747","1967","","50.03146","45.454487"
"657","Николаевск-на-Амуре","Хабаровский край","Дальневосточный","18631","1850","1856","Николаевск (до 1926)","53.138729","140.72493"
"658","Никольск","Вологодская область","Северо-Западный","7661","XIV век","1780","Никольский погост (до 1780)","59.5304186","45.4585029"
"659","Никольск","Пензенская область","Приволжский","19873","1761","1954","Николо-Пестровка","53.714596","46.085175"
"660","Никольское","Ленинградская область","Северо-Западный","22355","1710","1990","Николаевское, Плитная Ломка","59.7034799","30.7861084"
"661","Новая Ладога","Ленинградская область","Северо-Западный","7432","1704","1704","","60.1052","32.3147"
