"id","name","region","federal_district","population","foundation_year","status","old_name","latitude","longitude"
"843","Светлоград","Ставропольский край","Северо-Кавказский","35703","1786","1965","Петровское (до 1965)","45.3406133","42.8459286"
"844","Светлый","Калининградская область","Северо-Западный","21114","1640","1955","Циммербуде (до 1947)","54.673355","20.131153"
"845","Светогорск","Ленинградская область","Северо-Западный","13784","1887","1949","Энсо (до 1949)","61.1112542","28.8701036"
"846","Свирск","Иркутская область","Сибирский","15485","XIX век","1949","Заимка Черниговская, Свирская, Свирское","53.066269","103.342331"
"847","Свободный","Амурская область","Дальневосточный","48517","1912","1912","Алексеевск (до 1917)","51.377354","128.13475"
"848","Себеж","Псковская область","Северо-Западный","6246","1414","1772","","56.2774187","28.4848862"
"849","Севастополь","Севастополь","Южный","547820","1783","1783","Акъяр (до 1783); Ахтиар ( с 1783 до 1784, с 1797 до 1826)","44.599058","33.4881648"
"850","Северо-Курильск","Сахалинская область","Дальневосточный","2374","1875","1946","Касивабара (до 1946)","50.6683048","156.1154399"
"851","Северобайкальск","Бурятия","Сибирский","24233","1974","1980","","55.635967","109.335648"
"852","Северодвинск","Архангельская область","Северо-Западный","157213","1936","1938","Судострой (до 1938); Молотовск (до 1957)","64.563385","39.823769"
"853","Североморск","Мурманская область","Северо-Западный","43327","1896","1951","Ваенга (до 1951)","69.069168","33.416656"
"854","Североуральск","Свердловская область","Уральский","24428","1758","1944","Петропавловский (до 1944)","60.15016","59.960517"
"855","Северск","Томская область","Сибирский","106648","1949","1954","Почтовый ящик N° 5, Берёзки, Томск-7","56.603161","84.881012"
"856","Севск","Брянская область","Центральный","6732","1146","1146","","52.156021","34.494572"
"857","Сегежа","Карелия","Северо-Западный","23543","1914","1943","","63.7435087","34.3106868"
"858","Сельцо","Брянская область","Центральный","15906","1870-е","1990","","53.369976","34.100616"
"859","Семёнов","Нижегородская область","Приволжский","25075","1644","1779","","56.788342","44.49155"
"860","Семикаракорск","Ростовская область","Южный","21719","1672","1972","Семикаракорская, Семикаракоры","47.516393","40.8122575"
"861","Семилуки","Воронежская область","Центральный","27938","1615","1954","","51.690403","39.022186"
"862","Сенгилей","Ульяновская область","Приволжский","6407","1666","1943","Покровское (до 1780)","53.9588733","48.7872182"
"863","Серафимович","Волгоградская область","Южный","8633","1589","1933","Усть-Медведицкая (до 1933)","49.580608","42.730164"
"864","Сергач","Нижегородская область","Приволжский","20256","1649","1779","","55.532822","45.4616976"
"865","Сергиев Посад","Московская область","Центральный","101756","1337","1919","Сергиев (до 1930); Загорск (до 1991)","56.3153284","38.1359898"
"866","Сердобск","Пензенская область","Приволжский","30220","1698","1780","","52.4559067","44.2029162"
"867","Серноводское","Чечня","Северо-Кавказский","12583","1846","2024","Михайловская (до 1922); Асламбек (до 1944)","43.315834","45.163658"
"868","Серов","Свердловская область","Уральский","94211","1893","1919","Надеждинск (до 1943, с 1937 до 1939); Кабаковск (с 1934 до 1937)","59.6051267","60.5733483"
"869","Серпухов","Московская область","Центральный","133793","1339","1374","","54.9155247","37.4195533"
"870","Сертолово","Ленинградская область","Северо-Западный","68241","1936","1988","Сиротала, Сертолла, Серталово, Серполово","60.143707","30.207806"
"871","Сибай","Башкортостан","Приволжский","56514","1925","1955","Сибаевский рудник","52.720425","58.665466"
"872","Сим","Челябинская область","Уральский","12858","1759","1942","Симский завод (до 1928)","54.9872705","57.6847437"
"873","Симферополь","Крым","Южный","340540","1784","1784","","44.9502809","34.0979997"
"874","Сковородино","Амурская область","Дальневосточный","7057","1908","1927","Змеиный (до 1909); Невер-1 (до 1911); Рухлово (до 1938)","53.9862567","123.9373454"
"875","Скопин","Рязанская область","Центральный","25238","1676","1778","","53.823524","39.549274"
"876","Славгород","Алтайский край","Сибирский","27900","1910","1914","","52.9968921","78.6485041"
"877","Славск","Калининградская область","Северо-Западный","4153","1292","1946","Хайнрихсвальде (до 1947)","55.04549","21.679073"
"878","Славянск-на-Кубани","Краснодарский край","Южный","62985","1865","1958","Ло-Копа, Ени-Копыл, Славянская","45.2492346","38.1092674"
"879","Сланцы","Ленинградская область","Северо-Западный","34628","1934","1949","","59.11726","28.086979"
"880","Слободской","Кировская область","Приволжский","29148","1505","1780","","58.7277816","50.1771234"
"881","Слюдянка","Иркутская область","Сибирский","18058","1899","1936","","51.656769","103.719292"
"882","Смоленск","Смоленская область","Центральный","316570","863","863","","54.77897","32.0471812"
"883","Снежинск","Челябинская область","Уральский","50619","1955","1957","Жилой посёлок № 2 (до 1957); Касли-2 (до 1959); Челябинск-50 (до 1966); Челябинск-70 (до 1993)","56.087009","60.732674"
"884","Снежногорск","Мурманская область","Северо-Западный","9942","1970","1980","Вьюжный (до 1980); Мурманск-60 (до 1994)","69.19191","33.232357"
"885","Собинка","Владимирская область","Центральный","17444","1858","1939","","55.9903976","40.0150802"
"886","Советск","Калининградская область","Северо-Западный","38910","1288","1552","Тильзит (до 1946)","55.0809688","21.8882673"
"887","Советск","Кировская область","Приволжский","14626","XII век","1937","Кукарка (до 1918)","57.5861888","48.9586978"
"888","Советск","Тульская область","Центральный","7889","1949","1954","Никольское","53.9346588","37.6320858"
"889","Советская Гавань","Хабаровский край","Дальневосточный","24231","1853","1941","Константиновский пост (до 1856); Императорская Гавань (до 1923); Знаменское (до 1930)","48.9663026","140.284958"
"890","Советский","Ханты-Мансийский АО","Уральский","31138","1963","1996","","61.362099","63.57354"
"891","Сокол","Вологодская область","Северо-Западный","34742","1615","1932","Соколово","59.462799","40.112858"
"892","Солигалич","Костромская область","Центральный","5534","1335","1778","Соль Галичьская","59.0777693","42.2861828"
"893","Соликамск","Пермский край","Приволжский","89473","1430","1573","Соль Камская, Усолье Камское","59.6493177","56.7706247"
"894","Солнечногорск","Московская область","Центральный","48413","XVIII век","1938","Солнечная Гора (до 1928); Солнечногорский (до 1938)","56.1853501","36.9781536"
"895","Соль-Илецк","Оренбургская область","Приволжский","26149","1754","1865","Илецк (до 1926); Илецкое (до 1935); Илецкая Защита (до 1945)","51.161289","54.996372"
"896","Сольвычегодск","Архангельская область","Северо-Западный","1952","1492","1708","Усолье, Усольск, Соль-Вычегодская","61.331333","46.918938"
"897","Сольцы","Новгородская область","Северо-Западный","8449","1390","1914","","58.119003","30.309679"
"898","Сорочинск","Оренбургская область","Приволжский","28478","1737","1945","","52.426971","53.154175"
"899","Сорск","Хакасия","Сибирский","10124","1940","1966","Сора (до 1966)","54.0016092","90.2525861"
"900","Сортавала","Карелия","Северо-Западный","14867","1468","1783","Сердоболь (до 1918)","61.70274","30.691231"
"901","Сосенский","Калужская область","Центральный","11413","1952","1991","Ленинский, Шепелевский","54.0516143","35.9589929"
"902","Сосновка","Кировская область","Приволжский","8428","1699","1962","","56.2573802","51.2842677"
"903","Сосновоборск","Красноярский край","Сибирский","40442","1971","1985","","56.121494","93.33873"
"904","Сосновый Бор","Ленинградская область","Северо-Западный","65367","1958","1973","","59.8968655","29.0765628"
"905","Сосногорск","Коми","Северо-Западный","22189","1939","1955","Ижма (до 1957)","63.585606","53.9000691"
"906","Сочи","Краснодарский край","Южный","466078","1838","1917","","43.5854823","39.723109"
"907","Спас-Деменск","Калужская область","Центральный","4569","1446","1917","","54.412586","34.0309659"
"908","Спас-Клепики","Рязанская область","Центральный","4743","XVI век","1920","Клепиково, Спасское","55.130867","40.176037"
"909","Спасск","Пензенская область","Приволжский","6936","XVII век","1779","Богданово (до 1673); Богданово-Спасское (с 1673 по 1779); Беднодемьяновск (с 1925 по 2005)","53.9310306","43.1885058"
"910","Спасск-Дальний","Приморский край","Дальневосточный","35732","1886","1917","Спасское (до 1917); Спасск-Приморский (до 1929)","44.5980135","132.815701"
"911","Спасск-Рязанский","Рязанская область","Центральный","5796","1629","1778","Спасск (до 1929)","54.4078801","40.380539"
"912","Среднеколымск","Якутия","Дальневосточный","3131","1643","1775","Ярмонга, Ярманка","67.455497","153.7071456"
"913","Среднеуральск","Свердловская область","Уральский","23344","1931","1966","Посёлок СУГРЭС","56.991631","60.46888"
"914","Сретенск","Забайкальский край","Сибирский","6093","1689","1926","","52.243191","117.695541"
"915","Ставрополь","Ставропольский край","Северо-Кавказский","547443","1777","1785","Ставрополь-Кавказский (до 1935); Ворошиловск (до 1943)","45.0433245","41.9690934"
"916","Старая Купавна","Московская область","Центральный","22898","XIV век","2004","","55.8070323","38.1774172"
"917","Старая Русса","Новгородская область","Северо-Западный","27487","1167","1167","Руса","57.9898923","31.3634905"
"918","Старица","Тверская область","Центральный","6938","1297","1297","Городок, Городеск","56.5081105","34.9314738"
"919","Стародуб","Брянская область","Центральный","17687","1080","1080","","52.584446","32.760098"
"920","Старый Крым","Крым","Южный","10470","XIII век","XIII век","Кырым, Солхат, Левкополь","51.3219908","37.6988186"
"921","Старый Оскол","Белгородская область","Центральный","221676","1593","1593","Оскол (до 1655)","51.298038","37.833202"
"922","Стерлитамак","Башкортостан","Приволжский","277410","1766","1782","","53.632374","55.952259"
"923","Стрежевой","Томская область","Сибирский","39169","1966","1978","","60.732758","77.600807"
"924","Строитель","Белгородская область","Центральный","23780","1958","2000","","50.785236","36.485428"
"925","Струнино","Владимирская область","Центральный","11774","1492","1938","","56.374","38.586"
"926","Ступино","Московская область","Центральный","64412","1938","1938","Электровоз (до 1938)","54.886598","38.0772589"
"927","Суворов","Тульская область","Центральный","17598","1949","1954","Суворовский (до 1954)","54.12236","36.500027"
"928","Судак","Крым","Южный","17834","212","","Солдая, Сугдея, Сидагиос, Сурож","44.8488369","34.971099"
"929","Суджа","Курская область","Центральный","5127","XVI век","1664","","51.190585","35.270946"
"930","Судогда","Владимирская область","Центральный","10408","1552","1778","","55.9515703","40.8586886"
"931","Суздаль","Владимирская область","Центральный","9286","1024","1024","","56.4193908","40.4487893"
"932","Сунжа","Ингушетия","Северо-Кавказский","62078","1845","2016","Сунженская (до 1852); Слепцовская (до 1939); Орджоникидзевская (до 2016)","43.3134582","45.0506114"
"933","Суоярви","Карелия","Северо-Западный","7190","XVI век","1940","Шуезерск","62.0820094","32.345856"
"934","Сураж","Брянская область","Центральный","11176","XVII век","1781","Суражичи (до 1781)","53.0131501","32.3931633"
"935","Сургут","Ханты-Мансийский АО","Уральский","396443","1594","1965","","61.254032","73.3964"
"936","Суровикино","Волгоградская область","Южный","18227","1744","1966","","48.605141","42.844147"
"937","Сурск","Пензенская область","Приволжский","6034","1849","1953","Никольский Хутор (до 1953)","53.072903","45.686054"
"938","Сусуман","Магаданская область","Дальневосточный","4439","1938","1964","","62.779732","148.15361"
"939","Сухиничи","Калужская область","Центральный","14806","XVIII век","1840","","54.1012793","35.3394394"
"940","Сухой Лог","Свердловская область","Уральский","32748","1710","1943","","56.9047389","62.0350233"
"941","Сызрань","Самарская область","Приволжский","165725","1683","1796","","53.15538","48.474121"
"942","Сыктывкар","Коми","Северо-Западный","220580","1780","1780","Усть-Сысольск (до 1930)","61.6685237","50.8352024"
"943","Сысерть","Свердловская область","Уральский","20634","1732","1946","","56.5030175","60.8093215"
"944","Сычёвка","Смоленская область","Центральный","7544","1488","1776","","55.8269908","34.2770455"
"945","Сясьстрой","Ленинградская область","Северо-Западный","12566","1926","1992","Сясьские Рядки","60.1397073","32.5637502"
"946","Тавда","Свердловская область","Уральский","32749","1910","1937","Посёлок суконной фабрики Ушкова, Каратуновка","58.0413743","65.2719986"
"947","Таганрог","Ростовская область","Южный","245120","1698","1775","","47.2392184","38.8755031"
"948","Тайга","Кемеровская область","Сибирский","22375","1896","1911","","56.065071","85.631325"
"949","Тайшет","Иркутская область","Сибирский","34491","1897","1938","","55.9385304","98.0196711"
"950","Талдом","Московская область","Центральный","17317","1677","1918","Ленинск (с 1918 до 1931)","56.730941","37.528016"
"951","Талица","Свердловская область","Уральский","14808","1732","1942","","57.014816","63.730244"
"952","Тамбов","Тамбовская область","Центральный","261803","1636","1719","Танбов","52.7216164","41.4523988"
"953","Тара","Омская область","Сибирский","26878","1594","1594","","56.902587","74.3698652"
"954","Тарко-Сале","Ямало-Ненецкий АО","Уральский","19900","1932","2004","","64.9219991","77.779459"
"955","Таруса","Калужская область","Центральный","9918","1246","1776","","54.7293536","37.1815538"
"956","Татарск","Новосибирская область","Сибирский","23711","1894","1911","","55.216961","75.962196"
"957","Таштагол","Кемеровская область","Сибирский","21980","1939","1963","","52.7594694","87.8484499"
"958","Тверь","Тверская область","Центральный","416219","1135","1139","Калинин (с 1932 до 1990)","56.858675","35.9208284"
"959","Теберда","Карачаево-Черкесия","Северо-Кавказский","9020","1868","1971","","43.4410989","41.7436988"
"960","Тейково","Ивановская область","Центральный","31305","XVII век","1918","","56.8554753","40.5405863"
"961","Тельмана","Ленинградская область","Северо-Западный","23986","1792","2024","Колпинская колония","59.726498","30.612122"
"962","Темников","Мордовия","Приволжский","6451","XII век","1536","","54.631496","43.210983"
"963","Темрюк","Краснодарский край","Южный","41608","1860","1860","","45.2751663","37.3905481"
"964","Терек","Кабардино-Балкария","Северо-Кавказский","19948","1876","1967","Муртазово (до 1920)","43.4826692","44.1363776"
"965","Тетюши","Татарстан","Приволжский","10535","1578","1781","","54.9342754","48.8319574"
"966","Тимашёвск","Краснодарский край","Южный","51858","1794","1966","","45.6129685","38.9357743"
"967","Тихвин","Ленинградская область","Северо-Западный","55415","1383","1773","","59.644323","33.5418624"
"968","Тихорецк","Краснодарский край","Южный","55686","1895","1926","Тихорецкий","45.854679","40.128124"
"969","Тобольск","Тюменская область","Уральский","100352","1587","1590","Тоболеск-Ладейный, Тоболеск","58.1998048","68.2512924"
"970","Тогучин","Новосибирская область","Сибирский","20766","1867","1945","","55.23769","84.402458"
"971","Тольятти","Самарская область","Приволжский","684709","1737","1780","Ставрополь (до 1964)","53.5098845","49.4189187"
"972","Томари","Сахалинская область","Дальневосточный","4313","1870","1946","Томариору (до 1946)","47.7612087","142.063478"
"973","Томмот","Якутия","Дальневосточный","6440","1923","1923","","58.968536","126.266853"
"974","Томск","Томская область","Сибирский","556478","1604","1604","","56.4887526","84.9523434"
"975","Топки","Кемеровская область","Сибирский","27158","1914","1933","","55.2751962","85.6228741"
"976","Торжок","Тверская область","Центральный","41116","IX—X века","1135","Новый Торг","57.040794","34.973373"
"977","Торопец","Тверская область","Центральный","11441","1074","1074","","56.496479","31.641077"
"978","Тосно","Ленинградская область","Северо-Западный","34066","1500","1963","Тосна, Ям-Тосна","59.5412777","30.8773645"
"979","Тотьма","Вологодская область","Северо-Западный","8669","1137","1780","Соль Тотемская, Усолье Тотемское","59.9736254","42.7587335"
"980","Трёхгорный","Челябинская область","Уральский","32463","1952","1955","Златоуст-20, Златоуст-36","54.8151264","58.4466273"
"981","Троицк","Челябинская область","Уральский","70301","1743","1784","","54.0847722","61.5514047"
"982","Трубчевск","Брянская область","Центральный","13287","975","975","Трубеч, Трубецк","52.5835","33.767467"
"983","Туапсе","Краснодарский край","Южный","61571","1838","1916","Вельяминовская, Вельяминовка","44.0984747","39.0718875"
"984","Туймазы","Башкортостан","Приволжский","68349","1912","1960","Туймаза","54.606537","53.6974004"
"985","Тула","Тульская область","Центральный","473622","1146","1146","","54.1930321","37.61754"
"986","Тулун","Иркутская область","Сибирский","38440","1735","1927","","54.562096","100.579216"
"987","Туран","Тыва","Сибирский","5044","1885","1945","","52.1458093","93.9186434"
"988","Туринск","Свердловская область","Уральский","16561","1600","1600","Епанчин","58.0525487","63.6908787"
"989","Тутаев","Ярославская область","Центральный","39643","XIII век","1822","Романов-Борисоглебск (до 1918)","57.875385","39.527214"
"990","Тында","Амурская область","Дальневосточный","28625","1907","1975","Тындинское (до 1937); Тындинский (до 1974)","55.149694","124.7375884"
"991","Тырныауз","Кабардино-Балкария","Северо-Кавказский","22056","1934","1955","Гирхожан (до 1937); Нижний Баксан (до 1955)","43.3958986","42.9230751"
"992","Тюкалинск","Омская область","Сибирский","9894","1759","1823","Тюкала","55.870556","72.196617"
"993","Тюмень","Тюменская область","Уральский","847488","1586","1586","Чинги-Тура","57.153534","65.542274"
"994","Уварово","Тамбовская область","Центральный","23584","1699","1966","","51.9838919","42.2664426"
"995","Углегорск","Сахалинская область","Дальневосточный","8041","XX век","1946","Эсутору (до 1946)","49.079296","142.0633622"
"996","Углич","Ярославская область","Центральный","32719","1148","1148","","57.526783","38.316689"
"997","Удачный","Якутия","Дальневосточный","12930","1967","1987","","66.411768","112.2517294"
"998","Удомля","Тверская область","Центральный","25950","1478","1981","","57.877998","35.0042"
"999","Ужур","Красноярский край","Сибирский","14134","1760","1953","Усул","55.3197221","89.8424197"
"1000","Узловая","Тульская область","Центральный","49427","1873","1938","Хрущёвская (до 1877)","53.978512","38.160255"
"1001","Улан-Удэ","Бурятия","Сибирский","437565","1666","1690","Удинское зимовье (до 1680); Удинский острог (до 1690); Удинск (до 1735); Верхнеудинск (до 1934)","51.8357841","107.5839105"
"1002","Ульяновск","Ульяновская область","Приволжский","617352","1648","1648","Синбирск (до 1780); Симбирск (до 1924)","54.3150278","48.403373"
"1003","Унеча","Брянская область","Центральный","24274","1887","1940","","52.8449574","32.6700113"
"1004","Урай","Ханты-Мансийский АО","Уральский","41315","1922","1965","","60.12912","64.803627"
"1005","Урень","Нижегородская область","Приволжский","12450","1719","1973","Трёхсвятское","57.4614974","45.7878911"
"1006","Уржум","Кировская область","Приволжский","8448","1584","1796","","57.1101118","50.0003067"
"1007","Урус-Мартан","Чечня","Северо-Кавказский","63449","XVIII век","1990","Красноармейское (с 1944 до 1958)","43.133102","45.538425"
"1008","Урюпинск","Волгоградская область","Южный","36669","1618","1929","Урюпинская (до 1929)","50.7970972","42.0051866"
"1009","Усинск","Коми","Северо-Западный","32182","1966","1984","","65.9944237","57.5570861"
"1010","Усмань","Липецкая область","Центральный","19662","1645","1779","","52.0506929","39.7399996"
"1011","Усолье-Сибирское","Иркутская область","Сибирский","74762","1669","1925","Усолье (до 1940)","52.7512013","103.6621625"
"1012","Усолье","Пермский край","Приволжский","6619","1606","1940","","59.4180251","56.6830803"
"1013","Уссурийск","Приморский край","Дальневосточный","180393","1866","1898","Никольск (до 1926); Никольск-Уссурийский (до 1935); Ворошилов (до 1957)","43.7972447","131.9520752"
"1014","Усть-Джегута","Карачаево-Черкесия","Северо-Кавказский","31137","1868","1975","Усть-Джегутинская (до 1975)","44.0858961","41.9722557"
"1015","Усть-Илимск","Иркутская область","Сибирский","79570","1966","1973","Усть-Илим (до 1973)","57.959473","102.734192"
"1016","Усть-Катав","Челябинская область","Уральский","21439","1758","1942","Усть-Катавский завод","54.9308","58.17484"
"1017","Усть-Кут","Иркутская область","Сибирский","36918","1631","1954","Усть-Кутский острог, Усть-Кутское","56.7810026","105.7460255"
"1018","Усть-Лабинск","Краснодарский край","Южный","40158","1794","1958","Усть-Лабинская (до 1958)","45.2178027","39.6896725"
"1019","Устюжна","Вологодская область","Северо-Западный","7843","1252","1252","","58.8428204","36.4296982"
"1020","Уфа","Башкортостан","Приволжский","1144809","1574","1586","","54.7261409","55.947499"
"1021","Ухта","Коми","Северо-Западный","79899","1929","1943","","63.5623797","53.6842376"
"1022","Учалы","Башкортостан","Приволжский","36175","сер. XVIII века","1963","","54.316597","59.384636"
"1023","Уяр","Красноярский край","Сибирский","12036","1760","1944","Клюквенная","55.809986","94.327774"
"1024","Фатеж","Курская область","Центральный","4691","XVI век","1779","","52.089344","35.859486"
"1025","Феодосия","Крым","Южный","66293","VI век до н. э.","","Кефе, Кафа","45.0262369","35.386749"
"1026","Фокино","Брянская область","Центральный","12538","1899","1964","Цементный (до 1964)","53.4526625","34.4154587"
"1027","Фокино","Приморский край","Дальневосточный","19711","1891","1980","Тихоокеанский (до 1980); Шкотово-17 (до 1994)","42.9772084","132.404905"
"1028","Фролово","Волгоградская область","Южный","35661","1859","1936","","49.7645711","43.6539516"
"1029","Фрязино","Московская область","Центральный","60580","1584","1951","","55.954618","38.0567691"
"1030","Фурманов","Ивановская область","Центральный","29715","1918","1918","Середа-Упино (до 1918); Середа (до 1941)","57.248756","41.10923"
"1031","Хабаровск","Хабаровский край","Дальневосточный","617441","1858","1880","Бури (до 1858); Хабарово (до 1880); Хабаровка (до 1893)","48.4812568","135.0762968"
"1032","Хадыженск","Краснодарский край","Южный","22094","1864","1949","","44.4231032","39.5369484"
"1033","Ханты-Мансийск","Ханты-Мансийский АО","Уральский","107473","1582","1950","Остяко-Вогульск (до 1940)","61.0035254","69.0189684"
"1034","Харабали","Астраханская область","Южный","18514","1789","1974","","47.4083742","47.2538899"
"1035","Харовск","Вологодская область","Северо-Западный","8389","1903","1954","","59.9533237","40.2068249"
"1036","Хасавюрт","Дагестан","Северо-Кавказский","155144","1846","1931","Ярыксув (до 1847)","43.246916","46.5855184"
"1037","Хвалынск","Саратовская область","Приволжский","12042","1556","1780","Сосновка (до 1606); Сосновый остров (до 1780)","52.495499","48.105888"
"1038","Хилок","Забайкальский край","Сибирский","9948","1895","1951","","51.3628436","110.4579749"
"1039","Химки","Московская область","Центральный","257128","1850","1939","","55.8917293","37.4396994"
"1040","Холм","Новгородская область","Северо-Западный","3214","1144","1777","","57.1540742","31.170852"
"1041","Холмск","Сахалинская область","Дальневосточный","25677","1870","1922","Маука (до 1905); Маока (до 1946)","47.0545875","142.0487125"
"1042","Хотьково","Московская область","Центральный","20466","1308","1949","","56.2516797","37.9780219"
"1043","Цивильск","Чувашия","Приволжский","12762","1589","1781","","55.8661072","47.473703"
"1044","Цимлянск","Ростовская область","Южный","14731","1672","1961","Кумшацкая (до 1950); Цимлянская (до 1950); Цимлянский (до 1961)","47.650585","42.098232"
"1045","Циолковский","Амурская область","Дальневосточный","7194","1961","2015","Углегорск (до 1969); Свободный-18 (до 1994); Углегорск (до 2015)","51.764973","128.123428"
"1046","Чадан","Тыва","Сибирский","9732","1873","1945","Артаадыт (до 1929)","51.2840385","91.5666701"
"1047","Чайковский","Пермский край","Приволжский","75837","1955","1962","","56.7787468","54.1500704"
"1048","Чапаевск","Самарская область","Приволжский","70228","1909","1927","Иващенково (до 1918); Троцк (до 1929)","52.981285","49.711193"
"1049","Чаплыгин","Липецкая область","Центральный","11579","1638","1778","Слободское (до 1778); Раненбург (до 1948)","53.243015","39.966801"
"1050","Чебаркуль","Челябинская область","Уральский","44693","1736","1951","","54.977795","60.37009"
"1051","Чебоксары","Чувашия","Приволжский","497807","1469","1469","","56.1399598","47.2480999"
"1052","Чегем","Кабардино-Балкария","Северо-Кавказский","20736","1822","2000","Кундетово (до 1920); Чегем I (до 2000)","43.5655936","43.5899021"
"1053","Чекалин","Тульская область","Центральный","935","1565","1746","Лихвин (до 1944)","54.0985545","36.2472471"
"1054","Челябинск","Челябинская область","Уральский","1177058","1736","1781","","55.1598408","61.4025547"
"1055","Чердынь","Пермский край","Приволжский","4590","1451","1535","","60.4027097","56.4785338"
"1056","Черемхово","Иркутская область","Сибирский","53958","1772","1917","Черемховское","53.148434","103.070145"
"1057","Черепаново","Новосибирская область","Сибирский","19900","1912","1925","Свободный (до 1921)","54.226101","83.370468"
"1058","Череповец","Вологодская область","Северо-Западный","305185","1777","1777","","59.128696","37.916389"
"1059","Черкесск","Карачаево-Черкесия","Северо-Кавказский","113226","1825","1931","Баталпашинская (до 1931); Баталпашинск (до 1934); Сулимов (до 1937); Ежово-Черкесск (до 1939)","44.2285229","42.048257"
"1060","Чёрмоз","Пермский край","Приволжский","3044","1701","1943","","58.784988","56.153381"
"1061","Черноголовка","Московская область","Центральный","19530","1710","2001","","56.0061165","38.3835224"
"1062","Черногорск","Хакасия","Сибирский","75745","1936","1936","Черногорские Копи (до 1936)","53.828236","91.31321"
"1063","Чернушка","Пермский край","Приволжский","32991","1854","1966","","56.5152817","56.0765041"
"1064","Черняховск","Калининградская область","Северо-Западный","36128","1336","1583","Инстербург (до 1946)","54.635533","21.8099822"
"1065","Чехов","Московская область","Центральный","89025","1175","1954","Лопасня (до 1954)","55.1426603","37.4545328"
"1066","Чистополь","Татарстан","Приволжский","58815","XVIII век","1781","Чистое Поле (до 1781)","55.3714831","50.6367311"
"1067","Чита","Забайкальский край","Сибирский","334427","1653","1851","Плотбище, Плоты, Читинская слобода","52.033409","113.500893"
"1068","Чкаловск","Нижегородская область","Приволжский","11535","XII век","1955","Василёво (до 1937)","56.764915","43.243324"
"1069","Чудово","Новгородская область","Северо-Западный","14302","XVI век","1937","","59.1240916","31.686215"
"1070","Чулым","Новосибирская область","Сибирский","11034","1762","1947","Романовское (до 1933)","55.09","80.970459"
"1071","Чусовой","Пермский край","Приволжский","45471","1878","1933","","58.282055","57.821075"
"1072","Чухлома","Костромская область","Центральный","4252","1381","1778","","58.7560222","42.68065"
"1073","Шагонар","Тыва","Сибирский","11772","1888","1945","","51.538721","92.9194074"
"1074","Шадринск","Курганская область","Уральский","68609","1662","1712","Шадринская слобода (до 1712); Малоархангельск (до 1733)","56.087364","63.629482"
"1075","Шали","Чечня","Северо-Кавказский","55054","1378 или 1384","1990","Междуречье (с 1944 до 1958)","43.153942","45.906578"
"1076","Шарыпово","Красноярский край","Сибирский","33961","XVIII век","1981","Черненко (с 1985 до 1988)","55.5329127","89.1864204"
"1077","Шарья","Костромская область","Центральный","20439","1906","1938","","58.37257","45.519306"
"1078","Шатура","Московская область","Центральный","38230","1423","1936","","55.578403","39.5437584"
"1079","Шахты","Ростовская область","Южный","226452","1805","1867","Горное Грушевское поселение (до 1881); Александровск-Грушевский (до 1920)","47.7094622","40.2154859"
"1080","Шахунья","Нижегородская область","Приволжский","17626","1912","1943","","57.6711583","46.6257709"
"1081","Шацк","Рязанская область","Центральный","5927","1553","1553","","54.028687","41.712601"
"1082","Шебекино","Белгородская область","Центральный","39680","1713","1938","","50.4049335","36.8796822"
"1083","Шелехов","Иркутская область","Сибирский","41998","1953","1962","ИркАЗ (до 1956)","52.2097478","104.097683"
"1084","Шелковская","Чечня","Северо-Кавказский","12593","1718","2024","Сарафанниково","43.5139336","46.3189579"
"1085","Шенкурск","Архангельская область","Северо-Западный","4600","1137","1780","Вага, Шенкурье","62.1059279","42.9076435"
"1086","Шилка","Забайкальский край","Сибирский","12046","1897","1951","","51.851639","116.025894"
"1087","Шимановск","Амурская область","Дальневосточный","16488","1910","1950","Пёра (до 1914); Гондатти (до 1920); Владимиро-Шимановский (до 1950)","51.9987022","127.6719156"
"1088","Шиханы","Саратовская область","Приволжский","5155","1928","1996","","52.114838","47.198475"
"1089","Шлиссельбург","Ленинградская область","Северо-Западный","14131","1323","1780","Орешек (до 1611); Нотебург (до 1702); Петрокрепость (с 1944 до 1992)","59.940431","31.0336955"
"1090","Шумерля","Чувашия","Приволжский","26873","1916","1937","","55.4985162","46.4186725"
"1091","Шумиха","Курганская область","Уральский","16264","1892","1944","","55.228207","63.282501"
"1092","Шуя","Ивановская область","Центральный","55225","1394","1778","Борисоглебская слобода","56.8558465","41.3838496"
"1093","Щёкино","Тульская область","Центральный","55109","1870","1938","","54.004465","37.5179079"
"1094","Щёлкино","Крым","Южный","10131","1978","1992","","45.4291446","35.8222792"
"1095","Щёлково","Московская область","Центральный","134211","XVI век","1925","","55.9206499","37.9915576"
"1096","Щигры","Курская область","Центральный","14927","XVIII век","1779","Троицкое (до 1779)","51.870821","36.9131896"
"1097","Щучье","Курганская область","Уральский","8252","1750","1945","","55.208908","62.747772"
"1098","Электрогорск","Московская область","Центральный","29982","1912","1946","Электропередача (до 1946)","55.8792983","38.7858721"
"1099","Электросталь","Московская область","Центральный","146403","1916","1938","Затишье (до 1928)","55.784515","38.4449485"
"1100","Электроугли","Московская область","Центральный","17944","1899","1956","","55.7184467","38.2228192"
"1101","Элиста","Калмыкия","Южный","102583","1865","1930","Степной (с 1944 до 1957)","46.306999","44.270187"
"1102","Энгельс","Саратовская область","Приволжский","225428","1747","1914","Покровская слобода (до 1914); Покровск (до 1931)","51.5013775","46.1233093"
